Address,Latitude,Longitude,BuildingType,FloorSize,Link,Image
"863 50th St Apt 3b, Brooklyn, NY 11220",40.640383,-74.002033,SingleFamilyResidence,872,https://www.zillow.com/homedetails/863-50th-St-APT-3B-Brooklyn-NY-11220/64484754_zpid/,https://photos.zillowstatic.com/fp/5bd90ac3b10cf2780a90b6a47667f28b-p_e.jpg
"237 61st St, Brooklyn, NY 11220",40.642448,-74.022228,SingleFamilyResidence,"2,660",https://www.zillow.com/homedetails/237-61st-St-Brooklyn-NY-11220/30690567_zpid/,"https://maps.googleapis.com/maps/api/streetview?location=40.642448,-74.022228&size=575x242&key=AIzaSyBot9JtFX4Hqs-Ri6N3A8K1Rl5XZD3ssyI&signature=th4lQmhDlhmZEk3sDI2CsVOyr3I="
"621 59th St, Brooklyn, NY 11220",40.638547,-74.012586,SingleFamilyResidence,"2,200",https://www.zillow.com/homedetails/621-59th-St-Brooklyn-NY-11220/30579527_zpid/,https://photos.zillowstatic.com/fp/94280d82decc7e43f3d3c24c0283e0d3-p_e.jpg
"4102 8th Ave #4g, Brooklyn, NY 11232",40.646206,-73.998915,SingleFamilyResidence,697,https://www.zillow.com/homedetails/4102-8th-Ave-4G-Brooklyn-NY-11232/2076844016_zpid/,https://photos.zillowstatic.com/fp/514532a820e0e75e95e2bb85314b1bb0-p_e.jpg
"241 54th St, Brooklyn, NY 11220",40.646366,-74.017987,SingleFamilyResidence,"1,857",https://www.zillow.com/homedetails/241-54th-St-Brooklyn-NY-11220/30577810_zpid/,https://photos.zillowstatic.com/fp/814ae32e44d31401daf641bd3fa0a333-p_e.jpg
"346 52nd St, Brooklyn, NY 11220",40.645775,-74.014911,SingleFamilyResidence,"3,300",https://www.zillow.com/homedetails/346-52nd-St-Brooklyn-NY-11220/30577523_zpid/,https://photos.zillowstatic.com/fp/08fb2412f3a522a702247be67df444eb-p_e.jpg
"4401 4th Ave Apt B2, Brooklyn, NY 11220",40.649528,-74.008896,SingleFamilyResidence,940,https://www.zillow.com/homedetails/4401-4th-Ave-APT-B2-Brooklyn-NY-11220/82830241_zpid/,https://photos.zillowstatic.com/fp/6e8b99d87e01c4885d8c283f1c1d78a5-p_e.jpg
"729 40th St #c, Brooklyn, NY 11232",40.647763,-73.999153,SingleFamilyResidence,489,https://www.zillow.com/homedetails/729-40th-St-C-Brooklyn-NY-11232/2078228136_zpid/,https://photos.zillowstatic.com/fp/ce2c00cbbc184a38c123ff6d735990e9-p_e.jpg
"346 58th St, Brooklyn, NY 11220",40.642388,-74.018363,SingleFamilyResidence,"2,550",https://www.zillow.com/homedetails/346-58th-St-Brooklyn-NY-11220/30579289_zpid/,https://photos.zillowstatic.com/fp/7d81adb5d86f0904afdb0cb98804b81d-p_e.jpg
"737 43rd St, Brooklyn, NY 11232",40.64594,-74.000666,SingleFamilyResidence,"2,880",https://www.zillow.com/homedetails/737-43rd-St-Brooklyn-NY-11232/30581358_zpid/,https://photos.zillowstatic.com/fp/e78d87ff4b0c3404fe39f64ff38b7d9c-p_e.jpg
"458 57th St, Brooklyn, NY 11220",40.641478,-74.015336,SingleFamilyResidence,"2,355",https://www.zillow.com/homedetails/458-57th-St-Brooklyn-NY-11220/30579063_zpid/,https://photos.zillowstatic.com/fp/784d8191d246aeb24c86970ebeb2e248-p_e.jpg
"342 50th St, Brooklyn, NY 11220",40.646928,-74.0138,SingleFamilyResidence,"2,520",https://www.zillow.com/homedetails/342-50th-St-Brooklyn-NY-11220/30576996_zpid/,https://photos.zillowstatic.com/fp/cf7d68400dc0da5c033606d850242bc6-p_e.jpg
"4401 4th Ave Apt B5, Brooklyn, NY 11220",40.649528,-74.008896,SingleFamilyResidence,500,https://www.zillow.com/homedetails/4401-4th-Ave-APT-B5-Brooklyn-NY-11220/245017483_zpid/,https://photos.zillowstatic.com/fp/6c0ef66e1722838d9f4b88e1da7684ea-p_e.jpg
"462 52nd St #c2-m1-m3, Brooklyn, NY 11220",40.644177,-74.012298,SingleFamilyResidence,"3,683",https://www.zillow.com/homedetails/462-52nd-St-C2-M1-M3-Brooklyn-NY-11220/2078087217_zpid/,https://photos.zillowstatic.com/fp/ec5beb253005872535f7daf8590e4f9d-p_e.jpg
"670 44th St, Brooklyn, NY 11220",40.645946,-74.0031,SingleFamilyResidence,"2,964",https://www.zillow.com/homedetails/670-44th-St-Brooklyn-NY-11220/30575377_zpid/,https://photos.zillowstatic.com/fp/9f892314538c566729aae1e915e45265-p_e.jpg
"712 45th St #3a-1, Brooklyn, NY 11220",40.644903,-74.0029,SingleFamilyResidence,861,https://www.zillow.com/homedetails/712-45th-St-3A-1-Brooklyn-NY-11220/2077387753_zpid/,https://photos.zillowstatic.com/fp/4a55891808151cd2c0fabed578e3db63-p_e.jpg
"5708 7th Ave Apt 6b, Brooklyn, NY 11220",40.638475,-74.010447,SingleFamilyResidence,577,https://www.zillow.com/homedetails/5708-7th-Ave-APT-6B-Brooklyn-NY-11220/112509203_zpid/,https://photos.zillowstatic.com/fp/ad7aaea31e33434d01975b6ad332f9b4-p_e.jpg
"338 52nd St, Brooklyn, NY 11220",40.645876,-74.015079,SingleFamilyResidence,"3,348",https://www.zillow.com/homedetails/338-52nd-St-Brooklyn-NY-11220/30577520_zpid/,https://photos.zillowstatic.com/fp/61aec21db72b1701e2b6c3508a55ef68-p_e.jpg
"729 40th St #3a, Brooklyn, NY 11232",40.647763,-73.999152,SingleFamilyResidence,705,https://www.zillow.com/homedetails/729-40th-St-3A-Brooklyn-NY-11232/112077620_zpid/,"https://maps.googleapis.com/maps/api/streetview?location=40.647763,-73.999152&size=575x242&key=AIzaSyBot9JtFX4Hqs-Ri6N3A8K1Rl5XZD3ssyI&signature=TitnXLva4H748xhe1KRW0yC-scI="
"416 43rd St, Brooklyn, NY 11232",40.649899,-74.008137,SingleFamilyResidence,"2,400",https://www.zillow.com/homedetails/416-43rd-St-Brooklyn-NY-11232/30575053_zpid/,https://photos.zillowstatic.com/fp/fe4d5e74f35e739720560dcc9fa4a9b7-p_e.jpg
"765 43rd St #2a, Brooklyn, NY 11232",40.645455,-73.999862,SingleFamilyResidence,760,https://www.zillow.com/homedetails/765-43rd-St-2A-Brooklyn-NY-11232/121710879_zpid/,https://photos.zillowstatic.com/fp/ba97d6ce4054619cb8cfff75a67448cb-p_e.jpg
"634 40th St, Brooklyn, NY 11232",40.648683,-74.001585,SingleFamilyResidence,"3,000",https://www.zillow.com/homedetails/634-40th-St-Brooklyn-NY-11232/30581099_zpid/,https://photos.zillowstatic.com/fp/9118c33f46e569d7c6d7b3a5b427cfd2-p_e.jpg
"528 47th St, Brooklyn, NY 11220",40.646163,-74.007982,SingleFamilyResidence,"2,772",https://www.zillow.com/homedetails/528-47th-St-Brooklyn-NY-11220/30576211_zpid/,https://photos.zillowstatic.com/fp/9ee2c5eaf33c4c05c9f4dc6ad37fec6f-p_e.jpg
"518 51st St, Brooklyn, NY 11220",40.644053,-74.010541,SingleFamilyResidence,"1,880",https://www.zillow.com/homedetails/518-51st-St-Brooklyn-NY-11220/30577312_zpid/,https://photos.zillowstatic.com/fp/29c551d5379f0b792da52952169cc135-p_e.jpg
"453 42nd St #1, Brooklyn, NY 11232",40.650269,-74.006328,SingleFamilyResidence,"8,000",https://www.zillow.com/homedetails/453-42nd-St-1-Brooklyn-NY-11232/2077286828_zpid/,https://photos.zillowstatic.com/fp/4855d0bc296e9bb000dbae33bef7e1a9-p_e.jpg
"858 46th St, Brooklyn, NY 11220",40.642298,-74.000089,SingleFamilyResidence,"2,700",https://www.zillow.com/homedetails/858-46th-St-Brooklyn-NY-11220/30576077_zpid/,https://photos.zillowstatic.com/fp/37ff31a15b76714a7333a2b962895f36-p_e.jpg
"617 59th St, Brooklyn, NY 11220",40.63858,-74.012641,SingleFamilyResidence,"2,200",https://www.zillow.com/homedetails/617-59th-St-Brooklyn-NY-11220/30579528_zpid/,https://photos.zillowstatic.com/fp/94280d82decc7e43f3d3c24c0283e0d3-p_e.jpg
"434 39th St, Brooklyn, NY 11232",40.651866,-74.005362,SingleFamilyResidence,"1,748",https://www.zillow.com/homedetails/434-39th-St-Brooklyn-NY-11232/30574787_zpid/,https://photos.zillowstatic.com/fp/7dad37f1bf5f0bda9297000f88ee708a-p_e.jpg
"745 58th St Apt 3, Brooklyn, NY 11220",40.637366,-74.009126,SingleFamilyResidence,810,https://www.zillow.com/homedetails/745-58th-St-APT-3-Brooklyn-NY-11220/112505522_zpid/,https://photos.zillowstatic.com/fp/fb19774c577a15aa820e28eca0143997-p_e.jpg
"638 50th St #3a, Brooklyn, NY 11220",40.643029,-74.007331,SingleFamilyResidence,579,https://www.zillow.com/homedetails/638-50th-St-3A-Brooklyn-NY-11220/115876530_zpid/,https://photos.zillowstatic.com/fp/086ec5553e79fc345ad3a140c273d0c3-p_e.jpg
"330 43rd St, Brooklyn, NY 11232",40.651015,-74.009995,SingleFamilyResidence,"1,935",https://www.zillow.com/homedetails/330-43rd-St-Brooklyn-NY-11232/30575020_zpid/,https://photos.zillowstatic.com/fp/32fa8d29b3cac38d182b0d4a3ea3c2df-p_e.jpg
"629 51st St Apt 2c, Brooklyn, NY 11220",40.642933,-74.007774,SingleFamilyResidence,490,https://www.zillow.com/homedetails/629-51st-St-APT-2C-Brooklyn-NY-11220/94716186_zpid/,https://photos.zillowstatic.com/fp/6b08bdf1c687c3fc9933b2c595749286-p_e.jpg
"832 53rd St, Brooklyn, NY 11220",40.63876,-74.004803,SingleFamilyResidence,"1,300",https://www.zillow.com/homedetails/832-53rd-St-Brooklyn-NY-11220/30686455_zpid/,https://photos.zillowstatic.com/fp/4566c0e195ceb42958e1d43423f5251d-p_e.jpg
"642 52nd St, Brooklyn, NY 11220",40.64172,-74.008184,SingleFamilyResidence,"3,048",https://www.zillow.com/homedetails/642-52nd-St-Brooklyn-NY-11220/30577669_zpid/,https://photos.zillowstatic.com/fp/7ecbebc17c07267ff376010c7a4cbe5a-p_e.jpg
"273 61st St, Brooklyn, NY 11220",40.641934,-74.021379,SingleFamilyResidence,"3,480",https://www.zillow.com/homedetails/273-61st-St-Brooklyn-NY-11220/30690552_zpid/,https://photos.zillowstatic.com/fp/f6ba9949e706ec0a3ffa45e97555727e-p_e.jpg
"4301 4th Ave #123, Brooklyn, NY 11232",40.650131,-74.008313,SingleFamilyResidence,"4,875",https://www.zillow.com/homedetails/4301-4th-Ave-123-Brooklyn-NY-11232/2078803337_zpid/,https://photos.zillowstatic.com/fp/2157c1d9e40c4ba460cfbd5de5cd3537-p_e.jpg
"420 64th St Apt 7e, Brooklyn, NY 11220",40.63779,-74.01985,SingleFamilyResidence,640,https://www.zillow.com/homedetails/420-64th-St-APT-7E-Brooklyn-NY-11220/30691227_zpid/,"https://maps.googleapis.com/maps/api/streetview?location=40.637790,-74.019850&size=575x242&key=AIzaSyBot9JtFX4Hqs-Ri6N3A8K1Rl5XZD3ssyI&signature=La1nwel_wWl461i-_vI-fL4cOf8="
"4711 8th Ave Apt 4b, Brooklyn, NY 11220",40.642371,-74.001993,SingleFamilyResidence,621,https://www.zillow.com/homedetails/4711-8th-Ave-APT-4B-Brooklyn-NY-11220/94719294_zpid/,https://photos.zillowstatic.com/fp/dcf22fe0e98c9939707a823f4a76e175-p_e.jpg
"828 53rd St, Brooklyn, NY 11220",40.638804,-74.004876,SingleFamilyResidence,884,https://www.zillow.com/homedetails/828-53rd-St-Brooklyn-NY-11220/30686454_zpid/,https://photos.zillowstatic.com/fp/0861ebbe70bfe19535e81e44f42c1705-p_e.jpg
"420 42nd St Apt 2e, Brooklyn, NY 11232",40.650423,-74.0075,SingleFamilyResidence,637,https://www.zillow.com/homedetails/420-42nd-St-APT-2E-Brooklyn-NY-11232/89068896_zpid/,https://photos.zillowstatic.com/fp/9910c1ebe209d2a13e4454720751062a-p_e.jpg
"245 51st St, Brooklyn, NY 11220",40.648005,-74.016172,SingleFamilyResidence,"2,040",https://www.zillow.com/homedetails/245-51st-St-Brooklyn-NY-11220/142802418_zpid/,https://photos.zillowstatic.com/fp/953017c20a7e1d22716c6a47fd750aa5-p_e.jpg
"254 55th St #3a, Brooklyn, NY 11220",40.645307,-74.018666,SingleFamilyResidence,710,https://www.zillow.com/homedetails/254-55th-St-3A-Brooklyn-NY-11220/2077443839_zpid/,https://photos.zillowstatic.com/fp/e7a920fa06d95b94c0557023a5410050-p_e.jpg
"434 39th St #1, Brooklyn, NY 11232",40.651866,-74.005366,SingleFamilyResidence,"1,748",https://www.zillow.com/homedetails/434-39th-St-1-Brooklyn-NY-11232/2080642573_zpid/,https://photos.zillowstatic.com/fp/328ff17c2b8137124479c4100938945c-p_e.jpg
"673 41st St Apt 5, Brooklyn, NY 11232",40.64796,-74.001143,SingleFamilyResidence,500,https://www.zillow.com/homedetails/673-41st-St-APT-5-Brooklyn-NY-11232/245067807_zpid/,https://photos.zillowstatic.com/fp/2491c27906ec67c2289040680d25a990-p_e.jpg
"238 56th St Apt 1f, Brooklyn, NY 11220",40.644952,-74.019582,SingleFamilyResidence,"1,097",https://www.zillow.com/homedetails/238-56th-St-APT-1F-Brooklyn-NY-11220/112079616_zpid/,https://photos.zillowstatic.com/fp/3e500ce483c35cfdf1e4b7fdea4371f1-p_e.jpg
"5008 7th Ave Apt 4e, Brooklyn, NY 11220",40.64243,-74.006337,SingleFamilyResidence,879,https://www.zillow.com/homedetails/5008-7th-Ave-APT-4E-Brooklyn-NY-11220/89066818_zpid/,https://photos.zillowstatic.com/fp/9b62fa63ec9d92d65c0adccce507883a-p_e.jpg
"656 53rd St, Brooklyn, NY 11220",40.641018,-74.008543,SingleFamilyResidence,"2,796",https://www.zillow.com/homedetails/656-53rd-St-Brooklyn-NY-11220/30577974_zpid/,https://photos.zillowstatic.com/fp/8429c04d07612cf4698ec6cb1a3ff296-p_e.jpg
"453 44th St, Brooklyn, NY 11220",40.649145,-74.007484,SingleFamilyResidence,"1,680",https://www.zillow.com/homedetails/453-44th-St-Brooklyn-NY-11220/30575086_zpid/,https://photos.zillowstatic.com/fp/9f445bacc51eb498f3fde246ecb73f76-p_e.jpg
"856 43rd St Apt 2, Brooklyn, NY 11232",40.644162,-73.998456,SingleFamilyResidence,830,https://www.zillow.com/homedetails/856-43rd-St-APT-2-Brooklyn-NY-11232/79718217_zpid/,https://photos.zillowstatic.com/fp/7db98cdea189c497a9f117862e5459fc-p_e.jpg
"254 55th St #4a, Brooklyn, NY 11220",40.645307,-74.018666,SingleFamilyResidence,"1,335",https://www.zillow.com/homedetails/254-55th-St-4A-Brooklyn-NY-11220/2077443840_zpid/,https://photos.zillowstatic.com/fp/57dec4c8dc38837df06b525858217ad0-p_e.jpg
"873 52nd St, Brooklyn, NY 11220",40.639058,-74.002863,SingleFamilyResidence,"3,158",https://www.zillow.com/homedetails/873-52nd-St-Brooklyn-NY-11220/30685854_zpid/,https://photos.zillowstatic.com/fp/28e7cc629789aea27018e693b6e22acb-p_e.jpg
"614 61st St, Brooklyn, NY 11220",40.637167,-74.014299,SingleFamilyResidence,"3,120",https://www.zillow.com/homedetails/614-61st-St-Brooklyn-NY-11220/30690939_zpid/,https://photos.zillowstatic.com/fp/88f98ca53f6732f268efaa2d80bb5d94-p_e.jpg
"4108 8th Ave #3c, Brooklyn, NY 11232",40.646105,-73.998922,SingleFamilyResidence,930,https://www.zillow.com/homedetails/4108-8th-Ave-3C-Brooklyn-NY-11232/2080313769_zpid/,https://photos.zillowstatic.com/fp/1bf062be8dce51bef08b81f2dfaa54c9-p_e.jpg
"665 50th St, Brooklyn, NY 11220",40.64294,-74.006272,SingleFamilyResidence,"2,080",https://www.zillow.com/homedetails/665-50th-St-Brooklyn-NY-11220/30576868_zpid/,https://photos.zillowstatic.com/fp/b0168d7d9d9e9d9bce72f3464f2fb5ee-p_e.jpg
"744 55th St, Brooklyn, NY 11220",40.638814,-74.007908,SingleFamilyResidence,"2,200",https://www.zillow.com/homedetails/744-55th-St-Brooklyn-NY-11220/30578625_zpid/,"https://maps.googleapis.com/maps/api/streetview?location=40.638814,-74.007908&size=575x242&key=AIzaSyBot9JtFX4Hqs-Ri6N3A8K1Rl5XZD3ssyI&signature=oRZRCzVGd6DutFPS2uDUndYoUN4="
"457 49th St, Brooklyn, NY 11220",40.646296,-74.010322,SingleFamilyResidence,"1,740",https://www.zillow.com/homedetails/457-49th-St-Brooklyn-NY-11220/30576514_zpid/,https://photos.zillowstatic.com/fp/bfb399bf2d0cf86a67fd5fb7ba8c581e-p_e.jpg
"535 39th St, Brooklyn, NY 11232",40.650855,-74.002813,SingleFamilyResidence,"2,248",https://www.zillow.com/homedetails/535-39th-St-Brooklyn-NY-11232/30580901_zpid/,https://photos.zillowstatic.com/fp/26b165c4c4eec6a4cbdf451d92ef17e0-p_e.jpg
"429 53rd St, Brooklyn, NY 11220",40.644432,-74.013275,SingleFamilyResidence,"1,200",https://www.zillow.com/homedetails/429-53rd-St-Brooklyn-NY-11220/30577603_zpid/,"https://maps.googleapis.com/maps/api/streetview?location=40.644432,-74.013275&size=575x242&key=AIzaSyBot9JtFX4Hqs-Ri6N3A8K1Rl5XZD3ssyI&signature=WfbzqdR80gSuLAs4oXuTsOHVBss="
"5418 3rd Ave #5a, Brooklyn, NY 11220",40.645312,-74.017682,SingleFamilyResidence,799,https://www.zillow.com/homedetails/5418-3rd-Ave-5A-Brooklyn-NY-11220/121711423_zpid/,https://photos.zillowstatic.com/fp/09493cbeef3ee9895af01c8e0954773a-p_e.jpg
"5801 8th Ave, Brooklyn, NY 11220",40.636417,-74.00824,SingleFamilyResidence,"5,410",https://www.zillow.com/homedetails/5801-8th-Ave-Brooklyn-NY-11220/30688028_zpid/,https://photos.zillowstatic.com/fp/d672b32d317519559e36bad0c218b951-p_e.jpg
"723 59th St, Brooklyn, NY 11220",40.637181,-74.010329,SingleFamilyResidence,,https://www.zillow.com/homedetails/723-59th-St-Brooklyn-NY-11220/2078670665_zpid/,https://photos.zillowstatic.com/fp/04f55dbf9f7e4e8a0c7042b23668d443-p_e.jpg
"635 59th St, Brooklyn, NY 11220",40.638307,-74.012188,SingleFamilyResidence,"2,108",https://www.zillow.com/homedetails/635-59th-St-Brooklyn-NY-11220/30579520_zpid/,https://photos.zillowstatic.com/fp/05390c45b7a73cc5a1f58ab30ba3f72b-p_e.jpg
"239 55th St, Brooklyn, NY 11220",40.645857,-74.018654,SingleFamilyResidence,"1,968",https://www.zillow.com/homedetails/239-55th-St-Brooklyn-NY-11220/30578108_zpid/,https://photos.zillowstatic.com/fp/fc2d5294d8b9753128ac9784e35ca504-p_e.jpg
"4002 7th Ave Apt 37, Brooklyn, NY 11232",40.648054,-74.000542,SingleFamilyResidence,570,https://www.zillow.com/homedetails/4002-7th-Ave-APT-37-Brooklyn-NY-11232/245022326_zpid/,https://photos.zillowstatic.com/fp/2ec7c4bbae6de6e220d7f28a83464d49-p_e.jpg
"524 52nd St, Brooklyn, NY 11220",40.643426,-74.01101,SingleFamilyResidence,"2,700",https://www.zillow.com/homedetails/524-52nd-St-Brooklyn-NY-11220/30577612_zpid/,https://photos.zillowstatic.com/fp/ddf2800a3a5c4c0d7c7b005b029d55e5-p_e.jpg
"453 63rd St, Brooklyn, NY 11220",40.638446,-74.018576,SingleFamilyResidence,"3,169",https://www.zillow.com/homedetails/453-63rd-St-Brooklyn-NY-11220/30691052_zpid/,https://photos.zillowstatic.com/fp/c6dd2d9486df74d986f5a471958c5080-p_e.jpg
"830 53rd St, Brooklyn, NY 11220",40.638782,-74.004839,SingleFamilyResidence,884,https://www.zillow.com/homedetails/830-53rd-St-Brooklyn-NY-11220/30686408_zpid/,https://photos.zillowstatic.com/fp/da2d1cf9c2952a0d56b0bd07d3323e5d-p_e.jpg
"6108 7th Ave, Brooklyn, NY 11220",40.636201,-74.012755,SingleFamilyResidence,"3,300",https://www.zillow.com/homedetails/6108-7th-Ave-Brooklyn-NY-11220/30690966_zpid/,https://photos.zillowstatic.com/fp/2fca9f3fde5dbbe1bceed8044ec33c61-p_e.jpg
"825 46th St, Brooklyn, NY 11220",40.643095,-74.000483,SingleFamilyResidence,"2,814",https://www.zillow.com/homedetails/825-46th-St-Brooklyn-NY-11220/30575815_zpid/,https://photos.zillowstatic.com/fp/f649ab87a5ed756651f3ba168747ed59-p_e.jpg
"4003 6th Ave, Brooklyn, NY 11232",40.649094,-74.002165,SingleFamilyResidence,"2,700",https://www.zillow.com/homedetails/4003-6th-Ave-Brooklyn-NY-11232/30581094_zpid/,https://photos.zillowstatic.com/fp/83ab531821143dc54c5d093de48a54d8-p_e.jpg
"341 40th St, Brooklyn, NY 11232",40.652888,-74.00764,SingleFamilyResidence,"1,568",https://www.zillow.com/homedetails/341-40th-St-Brooklyn-NY-11232/30574765_zpid/,https://photos.zillowstatic.com/fp/be06db008129eb8d6230da123b5dc1d2-p_e.jpg
"430 61st St, Brooklyn, NY 11220",40.6395,-74.01794,SingleFamilyResidence,"16,512",https://www.zillow.com/homedetails/430-61st-St-Brooklyn-NY-11220/2109615822_zpid/,https://photos.zillowstatic.com/fp/f00d1fbf7f805bd1537b77422ba0c502-p_e.jpg
"667 47th St, Brooklyn, NY 11220",40.6445,-74.0046,SingleFamilyResidence,"3,624",https://www.zillow.com/homedetails/667-47th-St-Brooklyn-NY-11220/2104859526_zpid/,https://photos.zillowstatic.com/fp/e091586489546ea191c8ff92ca65494e-p_e.jpg
"531 52nd St Apt 3c, Brooklyn, NY 11220",40.643559,-74.01032,SingleFamilyResidence,851,https://www.zillow.com/homedetails/531-52nd-St-APT-3C-Brooklyn-NY-11220/82790243_zpid/,https://photos.zillowstatic.com/fp/89d494b6203ff03a1ed63f140e725e59-p_e.jpg
"3907 7th Ave, Brooklyn, NY 11232",40.648269,-73.999492,SingleFamilyResidence,"1,666",https://www.zillow.com/homedetails/3907-7th-Ave-Brooklyn-NY-11232/30580997_zpid/,https://photos.zillowstatic.com/fp/e937b8a0564017259d5ef8fa0c8092b6-p_e.jpg
"5306 4th Ave, Brooklyn, NY 11220",40.644792,-74.014795,SingleFamilyResidence,717,https://www.zillow.com/homedetails/5306-4th-Ave-Brooklyn-NY-11220/112499064_zpid/,https://photos.zillowstatic.com/fp/d978a9c57f7a8fa67962d9661bc59b41-p_e.jpg
"4102 8th Ave #2f, Brooklyn, NY 11232",40.646206,-73.998915,SingleFamilyResidence,592,https://www.zillow.com/homedetails/4102-8th-Ave-2F-Brooklyn-NY-11232/2080402011_zpid/,https://photos.zillowstatic.com/fp/1bf062be8dce51bef08b81f2dfaa54c9-p_e.jpg
"272 61st St, Brooklyn, NY 11220",40.641648,-74.021772,SingleFamilyResidence,"2,188",https://www.zillow.com/homedetails/272-61st-St-Brooklyn-NY-11220/30690794_zpid/,https://photos.zillowstatic.com/fp/310b142c16901e553593df6e6a91d176-p_e.jpg
"882 58th St, Brooklyn, NY 11220",40.635251,-74.006543,SingleFamilyResidence,"2,916",https://www.zillow.com/homedetails/882-58th-St-Brooklyn-NY-11220/30688054_zpid/,https://photos.zillowstatic.com/fp/eb8ba4951a5b019327e54142a4cf360c-p_e.jpg
"5709 6th Ave, Brooklyn, NY 11220",40.639473,-74.012229,SingleFamilyResidence,"4,032",https://www.zillow.com/homedetails/5709-6th-Ave-Brooklyn-NY-11220/30579165_zpid/,https://photos.zillowstatic.com/fp/a5905f0eff426ffa7fecfb4a8ab9ca0b-p_e.jpg
"943 4th Ave, Brooklyn, NY 11232",40.654004,-74.004281,SingleFamilyResidence,"4,000",https://www.zillow.com/homedetails/943-4th-Ave-Brooklyn-NY-11232/30574659_zpid/,https://photos.zillowstatic.com/fp/2f9e1f11f74bf995248d54e883965a67-p_e.jpg
